id,subject,sender,date,body,label,source
1,Revisión del contrato antes del anticipo,legal@comercialhorizonte.ec,03/05/2026,Buenos días. Adjuntamos el contrato actualizado para su revisión. El anticipo podrá procesarse una vez que ambas partes aprueben el documento. No es necesario emitir todavía la factura.,Contratos,synthetic
2,Firma pendiente del acuerdo de mantenimiento,gerencia@serviciosintegrales.ec,05/05/2026,"Estimados, antes de iniciar el mantenimiento necesitamos confirmar la firma del acuerdo de prestación de servicios. Posteriormente coordinaremos la facturación correspondiente.",Contratos,synthetic
3,Observaciones sobre el convenio comercial,alianzas@impulsadigital.ec,08/05/2026,Revisamos el convenio enviado y proponemos algunos ajustes en las cláusulas de confidencialidad. El pago puede esperar hasta cerrar el documento definitivo.,Contratos,synthetic
4,Anexo contractual para nuevo servicio,administracion@infraandes.ec,11/05/2026,Adjuntamos el anexo correspondiente a la ampliación del servicio solicitado. Agradecemos revisar el documento antes de programar la siguiente etapa del proyecto.,Contratos,synthetic
5,Renovación del acuerdo anual,direccion@nexora.ec,15/05/2026,Nos interesa continuar trabajando con su empresa. Antes de enviar el comprobante de pago necesitamos formalizar la renovación del acuerdo comercial.,Contratos,synthetic
6,Envío del comprobante electrónico,facturacion@distribuidorasierra.ec,04/05/2026,Adjuntamos el comprobante electrónico correspondiente al suministro entregado esta semana. El contrato permanece sin cambios.,Facturas,synthetic
7,Corrección del documento contable,contabilidad@tecnosuministros.ec,07/05/2026,Detectamos un error en el valor registrado en el comprobante. El servicio fue entregado correctamente; únicamente cambia la información tributaria.,Facturas,synthetic
8,Confirmación de recepción de factura,tesoreria@clinicasanmiguel.ec,12/05/2026,Buenos días. Confirmamos la recepción de la factura emitida por el servicio de soporte. El área financiera iniciará el proceso de pago esta semana.,Facturas,synthetic
9,Factura pendiente por cambio de pedido,pagos@importadoraandina.ec,17/05/2026,El cliente solicitó modificar el pedido antes de emitir la factura definitiva. Agradecemos esperar la confirmación final.,Facturas,synthetic
10,Comprobante autorizado por el SRI,notificaciones@tributaweb.ec,21/05/2026,Su comprobante electrónico fue autorizado correctamente. No requiere realizar ninguna acción adicional en este momento.,Facturas,synthetic
11,Propuesta para desarrollar un proyecto conjunto,alianzas@gestionplus.ec,02/05/2026,Nos gustaría reunirnos para evaluar una colaboración entre nuestras empresas. Más adelante podremos revisar aspectos legales y comerciales si existe interés mutuo.,Colaboraciones,synthetic
12,Invitación a participar en feria empresarial,eventos@camaraempresarial.ec,09/05/2026,Estamos organizando una feria para pequeñas empresas y creemos que podríamos trabajar juntos en un espacio compartido de exhibición.,Colaboraciones,synthetic
13,Seguimiento a propuesta de alianza,proyectos@redempresarial.ec,14/05/2026,Gracias por la reunión realizada ayer. Nos interesa continuar con la propuesta de cooperación y definir responsabilidades durante las próximas semanas.,Colaboraciones,synthetic
14,Convenio para campaña compartida,marketing@impulsa360.ec,20/05/2026,"La campaña publicitaria será conjunta entre ambas empresas, pero primero necesitamos acordar la distribución de actividades antes de hablar de costos.",Colaboraciones,synthetic
15,Colaboración para capacitación técnica,capacitacion@asociacioncomercial.ec,28/05/2026,Queremos coordinar talleres gratuitos dirigidos a nuestros clientes. Creemos que una alianza beneficiará a ambas organizaciones.,Colaboraciones,synthetic
16,Solicitud de cotización para equipos,compras@hotelmirador.ec,01/05/2026,Buenos días. Necesitamos una cotización para diez equipos de oficina. También agradeceríamos información sobre tiempos de entrega y garantía.,Clientes,synthetic
